,Unnamed: 0,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color
60271,414930,15000,2016.0,subaru,forester,like new,4 cylinders,gas,97.0,clean,automatic,4wd,full-size,sedan,black
60280,414962,2200,2007.0,mazda,3,good,4 cylinders,gas,168000.0,clean,manual,fwd,mid-size,sedan,grey
60283,415004,10000,2010.0,ford,mustang,excellent,6 cylinders,gas,194500.0,clean,manual,rwd,compact,coupe,red
60286,415009,7000,2013.0,hyundai,elantra,excellent,4 cylinders,gas,199557.0,clean,automatic,fwd,compact,sedan,blue
60296,415138,25000,2006.0,chevrolet,silverado,excellent,8 cylinders,diesel,118100.0,clean,automatic,4wd,full-size,pickup,grey
60301,415159,1,2009.0,chevrolet,silverado,excellent,8 cylinders,gas,145074.0,clean,automatic,4wd,full-size,pickup,grey
60303,415167,8995,2011.0,honda,pilot,excellent,6 cylinders,gas,183323.0,clean,automatic,fwd,full-size,SUV,white
60309,415190,2500,2001.0,ram,1500,fair,8 cylinders,gas,136000.0,clean,automatic,4wd,full-size,pickup,black
60311,415201,4500,2008.0,ford,ranger,good,4 cylinders,gas,241000.0,clean,automatic,rwd,compact,pickup,white
60313,415210,19500,2016.0,ford,f-150,like new,8 cylinders,gas,121532.0,clean,automatic,rwd,full-size,truck,white
60314,415213,17900,2012.0,ford,f-150,excellent,8 cylinders,gas,114222.0,clean,automatic,4wd,full-size,truck,grey
60315,415220,14700,2017.0,chevrolet,impala,like new,4 cylinders,gas,70527.0,clean,automatic,fwd,mid-size,sedan,silver
60317,415228,17900,2012.0,ram,1500,good,8 cylinders,gas,182059.0,clean,automatic,4wd,full-size,truck,grey
60323,415254,14900,2010.0,ram,1500,good,8 cylinders,gas,218994.0,clean,automatic,4wd,full-size,truck,red
60325,415285,6450,2007.0,jeep,grand cherokee,good,8 cylinders,gas,155284.0,clean,automatic,4wd,mid-size,SUV,brown
60330,415319,7500,2013.0,ford,focus se,good,4 cylinders,hybrid,68230.0,clean,automatic,rwd,compact,sedan,red
60333,415331,27000,2013.0,jeep,wrangler,like new,6 cylinders,gas,46380.0,clean,automatic,4wd,mid-size,SUV,green
60338,415345,0,2007.0,toyota,camry le,good,4 cylinders,gas,129800.0,clean,automatic,fwd,mid-size,sedan,silver
60340,415362,33990,2016.0,chevrolet,tahoe,excellent,8 cylinders,gas,107533.0,clean,automatic,rwd,full-size,SUV,white
60342,415369,5995,2009.0,toyota,prius,excellent,4 cylinders,hybrid,82121.0,clean,automatic,fwd,full-size,hatchback,silver
60345,415372,43000,2019.0,ford,f-150,new,6 cylinders,gas,5087.0,clean,automatic,rwd,full-size,truck,silver
60348,415397,24482,2014.0,ford,f-150,excellent,8 cylinders,gas,68894.0,clean,automatic,4wd,full-size,truck,red
60350,415406,6988,2010.0,ford,escape,good,6 cylinders,gas,123944.0,clean,automatic,fwd,mid-size,SUV,red
60363,415459,11500,2003.0,gmc,sierra 2500hd,fair,8 cylinders,diesel,184000.0,clean,automatic,4wd,full-size,truck,white
60373,415511,4900,2003.0,ram,1500,good,8 cylinders,gas,198200.0,clean,automatic,4wd,full-size,truck,white
60374,415512,2700,2004.0,ford,f-150,good,8 cylinders,gas,167000.0,clean,automatic,4wd,full-size,pickup,blue
60375,415516,11995,2012.0,chevrolet,camaro,excellent,6 cylinders,gas,107800.0,clean,automatic,rwd,full-size,coupe,red
60377,415520,7150,2007.0,ford,f-150,good,8 cylinders,gas,194750.0,clean,automatic,4wd,full-size,pickup,grey
60380,415524,11900,2007.0,ford,f-150,excellent,8 cylinders,gas,166000.0,clean,automatic,4wd,full-size,truck,red
60382,415529,6900,2011.0,hyundai,sonata,excellent,6 cylinders,gas,113000.0,clean,automatic,fwd,full-size,sedan,grey
60383,415533,29000,2015.0,gmc,sierra,good,8 cylinders,gas,81000.0,clean,automatic,4wd,full-size,pickup,black
60384,415536,15990,2015.0,toyota,rav4,excellent,4 cylinders,gas,86790.0,clean,automatic,fwd,full-size,SUV,grey
60388,415564,12900,2017.0,chevrolet,malibu,excellent,4 cylinders,gas,54000.0,clean,manual,fwd,mid-size,sedan,black
60389,415565,5300,2012.0,chevrolet,malibu,excellent,4 cylinders,gas,117000.0,clean,automatic,fwd,mid-size,sedan,black
60391,415576,27988,2015.0,bmw,x5,excellent,6 cylinders,gas,56596.0,clean,automatic,4wd,full-size,SUV,black
60394,415582,4500,2009.0,toyota,corolla,good,4 cylinders,gas,214906.0,clean,automatic,fwd,compact,sedan,blue
60404,415618,1495,2002.0,honda,civic,good,4 cylinders,gas,170255.0,clean,automatic,fwd,mid-size,coupe,red
60406,415639,8950,2013.0,ford,fusion,excellent,6 cylinders,gas,160090.0,clean,automatic,4wd,mid-size,sedan,silver
60407,415641,3400,2006.0,honda,odyssey,excellent,6 cylinders,gas,183000.0,clean,automatic,fwd,full-size,mini-van,silver
60408,415657,5700,2001.0,bmw,x5,like new,8 cylinders,gas,97000.0,clean,automatic,fwd,mid-size,SUV,blue
60411,415663,4900,2010.0,chevrolet,impala,excellent,6 cylinders,gas,147149.0,clean,automatic,fwd,full-size,sedan,white
60434,415787,15990,2017.0,chevrolet,cruze lt,like new,4 cylinders,gas,14195.0,clean,automatic,fwd,mid-size,sedan,silver
60442,415842,0,2001.0,ram,2500,good,8 cylinders,gas,211060.0,clean,automatic,4wd,full-size,pickup,white
60443,415855,13500,2014.0,chevrolet,silverado 1500,excellent,6 cylinders,gas,162000.0,clean,automatic,rwd,full-size,truck,white
60447,415886,17900,2012.0,ram,1500,good,8 cylinders,gas,182059.0,clean,automatic,4wd,full-size,truck,grey
60448,415888,14900,2010.0,ram,1500,good,8 cylinders,gas,218994.0,clean,automatic,4wd,full-size,truck,red
60450,415903,32950,2015.0,ram,2500,excellent,6 cylinders,diesel,144410.0,clean,automatic,4wd,full-size,pickup,grey
60452,415916,17990,2015.0,ram,1500,excellent,8 cylinders,gas,161511.0,clean,automatic,rwd,full-size,truck,black
60454,415932,22490,2016.0,dodge,grand caravan,like new,6 cylinders,gas,5000.0,rebuilt,automatic,fwd,full-size,mini-van,white
60460,415959,23490,2016.0,dodge,grand caravan,like new,6 cylinders,gas,49000.0,clean,automatic,fwd,full-size,mini-van,white
