,Unnamed: 0,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color
33173,264015,0,2018.0,chevrolet,silverado 1500,excellent,8 cylinders,gas,82503.0,clean,automatic,4wd,mid-size,truck,white
33176,264062,0,2015.0,buick,enclave,good,6 cylinders,gas,138710.0,clean,automatic,fwd,full-size,SUV,brown
33177,264069,2400,2004.0,chevrolet,tahoe,good,8 cylinders,gas,290000.0,clean,automatic,rwd,full-size,SUV,grey
33178,264070,15000,2015.0,ram,1500,like new,8 cylinders,gas,48500.0,clean,automatic,rwd,full-size,truck,white
33180,264087,59950,2012.0,ford,f-550,excellent,8 cylinders,diesel,157176.0,clean,automatic,rwd,full-size,truck,white
33183,264106,4500,2010.0,nissan,altima,good,4 cylinders,gas,178000.0,clean,automatic,fwd,mid-size,sedan,blue
33187,264118,6950,2007.0,chevrolet,tahoe,good,8 cylinders,gas,268000.0,clean,automatic,4wd,full-size,SUV,white
33195,264131,4000,2002.0,toyota,camry,excellent,6 cylinders,gas,166000.0,clean,automatic,fwd,mid-size,sedan,black
33197,264140,5950,2014.0,nissan,altima,excellent,4 cylinders,gas,150866.0,clean,automatic,fwd,mid-size,sedan,silver
33198,264141,4995,2007.0,toyota,corolla,good,4 cylinders,gas,167000.0,clean,automatic,fwd,mid-size,sedan,blue
33199,264144,8795,2013.0,volkswagen,jetta,excellent,4 cylinders,gas,88000.0,clean,automatic,fwd,compact,sedan,grey
33200,264150,6995,2014.0,chevrolet,cruze,like new,4 cylinders,gas,93000.0,clean,automatic,fwd,mid-size,sedan,blue
33203,264153,4795,2008.0,chevrolet,impala lt,good,6 cylinders,gas,136000.0,clean,automatic,fwd,mid-size,sedan,red
33204,264154,4195,2004.0,chevrolet,suburban,good,8 cylinders,gas,206000.0,clean,automatic,4wd,full-size,SUV,white
33205,264155,3295,2005.0,toyota,corolla,excellent,4 cylinders,gas,211000.0,clean,automatic,fwd,compact,sedan,silver
33209,264163,2995,2004.0,hyundai,elantra,good,4 cylinders,gas,135000.0,clean,automatic,fwd,compact,sedan,yellow
33227,264269,0,2016.0,chevrolet,silverado 1500,excellent,8 cylinders,gas,102677.0,clean,automatic,4wd,mid-size,truck,black
33228,264272,18995,2018.0,dodge,journey,like new,6 cylinders,gas,45690.0,clean,automatic,4wd,full-size,SUV,white
33230,264276,16995,2017.0,volkswagen,jetta,like new,4 cylinders,gas,26168.0,clean,automatic,fwd,mid-size,sedan,silver
33231,264277,29950,2011.0,gmc,sierra,excellent,8 cylinders,diesel,159194.0,clean,automatic,4wd,full-size,truck,white
33245,264343,18500,2011.0,chevrolet,silverado 1500,excellent,8 cylinders,gas,106897.0,clean,automatic,4wd,full-size,truck,white
33252,264366,3250,2007.0,honda,accord,good,4 cylinders,gas,215000.0,clean,automatic,fwd,mid-size,sedan,red
33254,264369,3650,2008.0,nissan,rogue,good,4 cylinders,gas,176000.0,clean,automatic,4wd,mid-size,SUV,grey
33256,264374,3015,2004.0,ford,explorer,excellent,6 cylinders,gas,212800.0,clean,automatic,4wd,mid-size,SUV,black
33257,264375,6695,2007.0,chevrolet,suburban,excellent,8 cylinders,gas,180000.0,clean,automatic,4wd,full-size,SUV,grey
33263,264407,3995,2008.0,nissan,sentra,excellent,4 cylinders,gas,118888.0,clean,automatic,fwd,sub-compact,sedan,black
33265,264412,3400,2006.0,toyota,corolla le,like new,4 cylinders,gas,186100.0,clean,manual,fwd,compact,sedan,silver
33271,264433,14500,2010.0,ford,f-150,good,8 cylinders,gas,169000.0,clean,automatic,4wd,full-size,pickup,black
33272,264435,5000,2012.0,honda,accord,fair,6 cylinders,gas,97000.0,rebuilt,automatic,fwd,mid-size,sedan,silver
33273,264441,2699,2001.0,honda,civic lx,excellent,4 cylinders,gas,148.0,clean,automatic,fwd,full-size,sedan,grey
33288,264489,4500,2007.0,toyota,corolla,excellent,4 cylinders,gas,114278.0,clean,automatic,fwd,mid-size,sedan,white
33292,264506,0,2020.0,chevrolet,silverado 1500,excellent,8 cylinders,gas,2104.0,clean,automatic,4wd,mid-size,truck,white
33300,264541,3995,2007.0,nissan,altima,excellent,4 cylinders,gas,148087.0,clean,automatic,fwd,mid-size,sedan,black
33303,264573,40547,2020.0,chevrolet,silverado 1500,new,8 cylinders,gas,5.0,clean,automatic,4wd,full-size,truck,black
33307,264583,37955,2020.0,chevrolet,silverado 1500,new,8 cylinders,gas,4255.0,clean,automatic,4wd,full-size,truck,red
33315,264604,14990,2017.0,chevrolet,cruze lt,like new,4 cylinders,gas,23315.0,clean,automatic,fwd,mid-size,sedan,grey
33322,264624,7800,2015.0,chevrolet,cruze lt,excellent,4 cylinders,gas,94500.0,clean,automatic,fwd,compact,sedan,blue
33327,264643,29995,2020.0,chevrolet,silverado 1500,new,4 cylinders,gas,5427.0,clean,automatic,rwd,full-size,truck,blue
33330,264653,27500,2012.0,ford,f-550,excellent,8 cylinders,diesel,133287.0,clean,automatic,4wd,full-size,truck,silver
33331,264662,1995,2000.0,chevrolet,impala,fair,6 cylinders,gas,189000.0,clean,automatic,fwd,mid-size,sedan,green
33333,264676,14900,2007.0,ram,3500,good,8 cylinders,gas,160000.0,clean,manual,fwd,full-size,pickup,blue
33337,264684,23990,2018.0,chevrolet,silverado 2500hd,excellent,8 cylinders,gas,148774.0,clean,automatic,4wd,full-size,pickup,white
33339,264696,15990,2011.0,ford,f-150,excellent,8 cylinders,gas,132439.0,clean,automatic,4wd,full-size,pickup,grey
33343,264721,10990,2000.0,jeep,wrangler,good,6 cylinders,gas,132434.0,clean,manual,4wd,full-size,SUV,black
33346,264732,21995,2012.0,ram,3500,excellent,6 cylinders,diesel,163331.0,clean,automatic,4wd,full-size,pickup,white
33347,264751,7500,2008.0,bmw,x5,like new,6 cylinders,gas,151123.0,clean,automatic,4wd,mid-size,SUV,grey
33349,264757,11500,2014.0,ford,f-150,good,8 cylinders,gas,237500.0,clean,automatic,4wd,full-size,truck,grey
33353,264767,11900,2007.0,ford,f-150,excellent,8 cylinders,gas,166000.0,clean,automatic,4wd,full-size,truck,red
33354,264768,3000,2006.0,ford,fusion,excellent,6 cylinders,gas,126000.0,clean,automatic,fwd,mid-size,sedan,silver
33359,264812,2700,2007.0,hyundai,elantra,good,4 cylinders,gas,200000.0,clean,automatic,fwd,compact,sedan,black
33360,264816,11500,2010.0,honda,cr-v,excellent,4 cylinders,gas,156000.0,clean,automatic,fwd,mid-size,SUV,white
33364,264828,24995,2007.0,ram,2500,excellent,6 cylinders,diesel,178999.0,clean,automatic,4wd,full-size,pickup,silver
33368,264835,32995,2014.0,ram,2500,excellent,6 cylinders,diesel,126000.0,clean,automatic,4wd,full-size,pickup,white
33372,264855,45000,2018.0,gmc,suburban,like new,8 cylinders,gas,37000.0,clean,automatic,4wd,full-size,SUV,red
33374,264861,6995,2007.0,cadillac,escalade,good,8 cylinders,gas,243842.0,clean,automatic,4wd,full-size,SUV,black
33395,264897,5800,2006.0,ford,f-150,fair,8 cylinders,gas,189500.0,clean,automatic,4wd,full-size,truck,blue
33399,264908,34990,2013.0,ford,f-550,good,8 cylinders,diesel,52065.0,clean,automatic,rwd,full-size,truck,white
33402,264920,22990,2008.0,ford,f-350 sd,good,8 cylinders,gas,48474.0,clean,automatic,rwd,full-size,truck,white
33403,264934,0,2009.0,chevrolet,silverado 1500,good,8 cylinders,gas,121000.0,clean,automatic,4wd,full-size,pickup,white
33405,264942,15990,2008.0,ford,f-350 sd,good,8 cylinders,gas,143633.0,clean,automatic,rwd,full-size,truck,white
33410,264959,15990,2012.0,ford,econoline,good,8 cylinders,gas,67820.0,clean,automatic,rwd,full-size,truck,white
33416,265005,12995,2013.0,chevrolet,silverado 1500,excellent,8 cylinders,gas,179774.0,clean,automatic,4wd,full-size,truck,silver
33417,265007,29900,2017.0,chevrolet,2500,excellent,8 cylinders,gas,120000.0,clean,automatic,4wd,full-size,truck,silver
33420,265040,4500,2010.0,kia,soul,good,4 cylinders,gas,111000.0,clean,automatic,fwd,compact,hatchback,blue
33426,265073,0,2020.0,chevrolet,silverado 1500,excellent,8 cylinders,gas,4272.0,clean,automatic,4wd,mid-size,truck,white
33428,265089,8900,2011.0,ram,1500,good,8 cylinders,gas,206000.0,clean,automatic,4wd,full-size,pickup,green
33429,265091,5999,2008.0,nissan,altima,good,4 cylinders,gas,101206.0,clean,automatic,fwd,mid-size,sedan,silver
33432,265094,9500,2006.0,gmc,sierra,excellent,8 cylinders,gas,135000.0,clean,automatic,rwd,full-size,pickup,white
33462,265204,2995,2004.0,hyundai,santa fe,like new,6 cylinders,gas,140000.0,clean,automatic,4wd,mid-size,SUV,black
33466,265213,5900,2015.0,ford,fusion se,good,4 cylinders,gas,165000.0,clean,automatic,fwd,mid-size,sedan,silver
33467,265215,0,2012.0,chevrolet,silverado 1500,excellent,8 cylinders,gas,221025.0,clean,automatic,4wd,mid-size,truck,black
33471,265225,5750,2008.0,buick,enclave,excellent,6 cylinders,gas,145000.0,rebuilt,automatic,4wd,full-size,SUV,silver
33473,265229,7500,2012.0,nissan,altima,excellent,3 cylinders,gas,102000.0,clean,automatic,fwd,mid-size,coupe,silver
33474,265231,0,2020.0,chevrolet,silverado 1500,excellent,8 cylinders,gas,4541.0,clean,automatic,4wd,mid-size,truck,white
33482,265269,1000,2003.0,ford,f-150,good,8 cylinders,gas,86800.0,clean,automatic,rwd,full-size,truck,blue
33484,265276,2250,2001.0,honda,accord,good,6 cylinders,gas,190000.0,clean,automatic,rwd,full-size,sedan,red
33488,265289,0,2011.0,jeep,grand cherokee,excellent,8 cylinders,gas,193529.0,clean,automatic,4wd,mid-size,SUV,green
33491,265300,2500,2002.0,ford,explorer,good,8 cylinders,gas,177000.0,clean,automatic,4wd,full-size,SUV,white
33493,265306,9500,2006.0,gmc,sierra,excellent,8 cylinders,gas,135000.0,clean,automatic,rwd,full-size,pickup,white
33499,265338,6995,2010.0,ford,focus,excellent,4 cylinders,gas,73478.0,clean,automatic,fwd,mid-size,sedan,green
33501,265341,7900,2013.0,nissan,rogue,excellent,4 cylinders,gas,99400.0,clean,automatic,rwd,mid-size,SUV,silver
33504,265359,22500,2015.0,chevrolet,silverado 1500,excellent,8 cylinders,gas,123000.0,clean,automatic,rwd,full-size,truck,silver
33505,265361,0,2020.0,chevrolet,silverado 1500,excellent,8 cylinders,gas,4272.0,clean,automatic,4wd,mid-size,truck,white
33507,265363,0,2020.0,cadillac,escalade,excellent,8 cylinders,gas,26570.0,clean,automatic,rwd,full-size,SUV,black
33508,265364,0,2020.0,chevrolet,silverado 1500,excellent,8 cylinders,gas,4541.0,clean,automatic,4wd,mid-size,truck,white
33511,265388,10997,2011.0,bmw,x5,excellent,6 cylinders,gas,93906.0,clean,automatic,4wd,full-size,SUV,black
33518,265440,0,2017.0,ford,explorer,excellent,6 cylinders,gas,72469.0,clean,automatic,4wd,full-size,SUV,black
33519,265448,3800,2005.0,chevrolet,silverado,good,8 cylinders,gas,257000.0,clean,automatic,4wd,full-size,truck,white
33523,265461,7995,2014.0,kia,soul,like new,4 cylinders,gas,121170.0,clean,automatic,fwd,sub-compact,hatchback,black
33528,265477,4750,2007.0,honda,cr-v,good,4 cylinders,gas,251808.0,clean,automatic,4wd,mid-size,SUV,black
33529,265487,4000,2008.0,nissan,altima,good,4 cylinders,gas,1340000.0,clean,automatic,fwd,compact,sedan,grey
33532,265490,0,2011.0,chevrolet,silverado,excellent,8 cylinders,gas,154878.0,clean,automatic,4wd,full-size,pickup,white
33536,265505,7500,2010.0,ford,fusion,excellent,4 cylinders,gas,23900.0,clean,automatic,fwd,mid-size,sedan,grey
33537,265506,4900,2006.0,hyundai,sonata,excellent,6 cylinders,gas,119000.0,clean,automatic,fwd,mid-size,sedan,silver
33543,265519,0,2016.0,chevrolet,silverado 1500,excellent,8 cylinders,gas,102677.0,clean,automatic,4wd,mid-size,truck,black
33551,265554,3798,2010.0,ford,fusion,excellent,6 cylinders,gas,243000.0,clean,automatic,fwd,mid-size,sedan,grey
33552,265556,5998,2008.0,honda,civic,excellent,4 cylinders,gas,139000.0,clean,automatic,fwd,sub-compact,sedan,blue
33555,265560,8500,2012.0,chevrolet,silverado 1500,good,8 cylinders,gas,164004.0,clean,automatic,rwd,full-size,truck,black
33556,265561,6000,2010.0,gmc,acadia,good,6 cylinders,gas,172444.0,clean,automatic,fwd,mid-size,SUV,black
33557,265563,6400,2016.0,ford,fusion,good,4 cylinders,gas,184561.0,clean,automatic,fwd,mid-size,sedan,black
33558,265564,9300,2006.0,ram,1500,good,8 cylinders,gas,98894.0,clean,automatic,rwd,full-size,pickup,silver
33559,265565,4400,2006.0,honda,cr-v,good,4 cylinders,gas,169220.0,clean,automatic,fwd,compact,SUV,silver
33562,265568,6800,2007.0,bmw,3-series,good,6 cylinders,gas,107419.0,clean,automatic,4wd,sub-compact,coupe,red
33563,265569,3500,2011.0,ford,fusion,good,4 cylinders,gas,191195.0,clean,automatic,fwd,mid-size,sedan,grey
33564,265570,5900,2007.0,honda,pilot,good,6 cylinders,gas,168928.0,clean,automatic,4wd,full-size,SUV,black
33566,265573,7300,2008.0,chevrolet,tahoe,good,8 cylinders,gas,196872.0,clean,automatic,rwd,full-size,SUV,silver
33568,265576,6000,2012.0,gmc,acadia,good,6 cylinders,gas,179947.0,clean,automatic,fwd,full-size,SUV,silver
33570,265578,7800,2013.0,ford,escape,good,4 cylinders,gas,133801.0,clean,automatic,4wd,compact,SUV,black
33580,265616,3950,2007.0,chevrolet,impala,good,6 cylinders,gas,118000.0,clean,automatic,fwd,mid-size,sedan,white
33581,265617,2750,2011.0,nissan,versa,excellent,4 cylinders,gas,142347.0,clean,automatic,fwd,mid-size,hatchback,silver
33582,265622,28500,2016.0,chevrolet,silverado 1500,excellent,6 cylinders,gas,124999.0,clean,automatic,4wd,mid-size,truck,blue
33584,265626,0,2015.0,hyundai,sonata,excellent,4 cylinders,gas,101495.0,clean,automatic,fwd,full-size,sedan,blue
33585,265627,0,2014.0,ford,f-150,excellent,6 cylinders,gas,83146.0,clean,automatic,4wd,mid-size,truck,black
33588,265637,26300,2019.0,chevrolet,silverado 1500,like new,8 cylinders,gas,13625.0,clean,automatic,rwd,full-size,truck,white
33593,265655,20500,2018.0,chevrolet,express,like new,8 cylinders,gas,31970.0,clean,automatic,rwd,full-size,van,white
33595,265658,0,2012.0,ford,f-150,excellent,8 cylinders,gas,80326.0,clean,automatic,4wd,full-size,pickup,grey
33596,265659,4995,2008.0,honda,odyssey,good,6 cylinders,gas,180106.0,clean,automatic,rwd,full-size,van,grey
33597,265661,28900,2019.0,chevrolet,silverado 1500,like new,8 cylinders,gas,17543.0,clean,automatic,rwd,full-size,truck,white
33605,265680,6500,2009.0,jeep,grand cherokee,good,6 cylinders,gas,167900.0,clean,automatic,rwd,full-size,SUV,white
33608,265695,5995,2008.0,gmc,acadia,good,6 cylinders,gas,212974.0,clean,automatic,fwd,full-size,SUV,white
33609,265697,4495,2008.0,honda,odyssey,good,6 cylinders,gas,241388.0,clean,automatic,rwd,full-size,van,green
33611,265724,3500,2004.0,ford,taurus,excellent,6 cylinders,gas,137000.0,clean,automatic,fwd,mid-size,sedan,silver
33613,265729,6995,2011.0,nissan,altima,good,4 cylinders,gas,114461.0,clean,automatic,fwd,mid-size,coupe,red
33617,265745,0,2013.0,chevrolet,express,good,6 cylinders,gas,25364.0,clean,automatic,rwd,mid-size,van,green
33619,265747,34600,2019.0,ram,1500,like new,8 cylinders,gas,9795.0,clean,automatic,4wd,full-size,truck,black
33621,265751,8500,2014.0,ram,1500,good,6 cylinders,gas,148000.0,clean,automatic,rwd,full-size,truck,white
33625,265772,6250,2010.0,toyota,corolla,excellent,4 cylinders,gas,86000.0,clean,manual,fwd,compact,sedan,red
33626,265773,12900,2016.0,toyota,prius,excellent,4 cylinders,hybrid,79900.0,clean,automatic,fwd,compact,hatchback,black
33627,265774,6800,2005.0,gmc,1500,good,6 cylinders,gas,70000.0,clean,manual,rwd,full-size,truck,black
33631,265787,5500,2002.0,toyota,prius,excellent,4 cylinders,hybrid,35900.0,clean,automatic,fwd,compact,sedan,blue
33635,265802,12200,2016.0,honda,civic,excellent,4 cylinders,gas,75000.0,clean,automatic,fwd,full-size,sedan,white
33641,265857,0,2017.0,chevrolet,silverado 2500hd,good,8 cylinders,gas,77344.0,clean,automatic,4wd,full-size,truck,white
33644,265888,13995,2014.0,gmc,sierra 1500,good,6 cylinders,gas,207987.0,clean,automatic,rwd,full-size,pickup,black
33645,265889,3500,2005.0,toyota,sienna,excellent,4 cylinders,gas,234000.0,clean,automatic,rwd,full-size,mini-van,blue
33650,265936,12500,2009.0,ram,1500,good,8 cylinders,gas,160000.0,clean,automatic,4wd,full-size,pickup,grey
33651,265939,20500,2007.0,ram,3500,excellent,6 cylinders,diesel,323459.0,clean,automatic,4wd,full-size,truck,grey
33654,265962,3000,2004.0,ford,f-150,fair,8 cylinders,gas,240000.0,clean,automatic,fwd,full-size,pickup,black
33655,265966,5000,2009.0,toyota,corolla,excellent,4 cylinders,gas,139000.0,clean,automatic,fwd,compact,hatchback,red
33660,266032,8500,2003.0,chevrolet,2500,good,8 cylinders,gas,248000.0,clean,automatic,rwd,full-size,pickup,white
33661,266052,18500,2003.0,ram,2500,good,8 cylinders,gas,119166.0,clean,automatic,4wd,full-size,pickup,silver
33664,266065,23897,2015.0,chevrolet,suburban,good,8 cylinders,gas,107609.0,clean,automatic,rwd,full-size,SUV,white
33668,266095,0,2017.0,ford,f-350 sd,good,8 cylinders,gas,31312.0,clean,automatic,rwd,full-size,truck,white
33672,266110,5450,2009.0,ford,focus,excellent,4 cylinders,gas,79000.0,clean,automatic,fwd,compact,sedan,red
33683,266130,5900,2010.0,toyota,corolla,new,4 cylinders,gas,196000.0,clean,automatic,fwd,full-size,sedan,black
33688,266164,6995,2008.0,ford,ranger,good,4 cylinders,gas,156426.0,clean,manual,rwd,mid-size,pickup,white
33695,266193,5695,2010.0,ford,fusion se,excellent,4 cylinders,gas,171970.0,clean,automatic,fwd,mid-size,sedan,silver
33696,266197,14830,2016.0,buick,enclave,excellent,6 cylinders,gas,130438.0,clean,automatic,fwd,full-size,SUV,silver
33697,266198,6932,2010.0,chevrolet,traverse,good,6 cylinders,gas,147347.0,clean,automatic,fwd,mid-size,SUV,white
33698,266199,4620,2001.0,ford,f-150,good,8 cylinders,gas,239000.0,clean,automatic,rwd,full-size,truck,red
33707,266252,11800,2011.0,jeep,grand cherokee,excellent,6 cylinders,gas,99000.0,clean,automatic,rwd,full-size,SUV,white
33708,266253,5195,2006.0,nissan,altima 2.5 s,good,4 cylinders,gas,109365.0,clean,automatic,fwd,mid-size,coupe,grey
33709,266260,5850,2007.0,chevrolet,silverado,good,6 cylinders,gas,122000.0,clean,automatic,rwd,mid-size,pickup,black
33714,266282,12980,2008.0,toyota,tacoma,good,4 cylinders,gas,78745.0,clean,automatic,rwd,full-size,truck,white
33716,266297,1800,2001.0,honda,cr-v,fair,4 cylinders,gas,338000.0,clean,automatic,fwd,compact,SUV,white
33720,266307,4399,2004.0,toyota,highlander,good,4 cylinders,gas,316000.0,clean,automatic,fwd,mid-size,SUV,silver
33727,266327,4200,2006.0,honda,civic,excellent,4 cylinders,gas,219500.0,clean,automatic,fwd,compact,coupe,grey
33735,266362,11990,2012.0,ford,mustang,excellent,6 cylinders,gas,96647.0,clean,automatic,rwd,full-size,coupe,white
33738,266366,0,2017.0,chevrolet,silverado 2500hd,good,8 cylinders,gas,77344.0,clean,automatic,4wd,full-size,truck,white
33739,266381,35000,2017.0,ford,f-150,excellent,6 cylinders,gas,65500.0,clean,automatic,4wd,full-size,pickup,custom
33741,266398,0,2013.0,chevrolet,tahoe,excellent,8 cylinders,gas,86724.0,clean,automatic,4wd,full-size,SUV,black
33742,266411,0,2019.0,chevrolet,equinox,excellent,4 cylinders,gas,26718.0,clean,automatic,fwd,mid-size,SUV,black
33743,266412,6000,2005.0,subaru,forester,excellent,4 cylinders,gas,200000.0,clean,automatic,4wd,mid-size,hatchback,silver
33744,266413,3500,2006.0,toyota,camry,good,4 cylinders,gas,200417.0,clean,automatic,fwd,mid-size,sedan,green
33745,266417,6700,2007.0,ford,expedition,good,8 cylinders,gas,158000.0,clean,automatic,rwd,full-size,SUV,blue
33747,266466,27500,2012.0,ford,f-550,excellent,8 cylinders,diesel,133287.0,clean,automatic,4wd,full-size,truck,silver
33749,266487,5600,2011.0,ford,taurus,like new,6 cylinders,gas,183000.0,clean,automatic,4wd,mid-size,sedan,black
33762,266574,0,2014.0,ford,f-150,excellent,8 cylinders,gas,151518.0,clean,automatic,4wd,full-size,truck,orange
33765,266587,19950,2012.0,ford,f-250,excellent,8 cylinders,gas,185119.0,clean,automatic,4wd,full-size,truck,white
33774,266620,4500,2006.0,honda,pilot,good,6 cylinders,gas,220000.0,clean,automatic,4wd,mid-size,SUV,white
33786,266693,13990,2012.0,chevrolet,silverado,excellent,8 cylinders,gas,83342.0,clean,automatic,4wd,full-size,pickup,white
33791,266717,0,2018.0,chevrolet,cruze lt,excellent,4 cylinders,gas,69477.0,clean,automatic,fwd,mid-size,sedan,black
33804,266822,9495,2014.0,chevrolet,equinox,good,4 cylinders,gas,45788.0,rebuilt,automatic,fwd,mid-size,SUV,black
33808,266863,11900,2007.0,ford,f-150,excellent,8 cylinders,gas,166000.0,clean,automatic,4wd,full-size,truck,red
33816,266912,12990,2012.0,buick,enclave,excellent,6 cylinders,gas,113677.0,clean,automatic,4wd,full-size,SUV,blue
33824,266931,495,2004.0,volkswagen,jetta,fair,4 cylinders,gas,114000.0,clean,automatic,fwd,mid-size,sedan,silver
33839,266990,39900,2016.0,ram,3500,like new,6 cylinders,diesel,118000.0,clean,automatic,4wd,full-size,pickup,blue
33840,266992,5900,2006.0,chevrolet,silverado,good,8 cylinders,gas,163300.0,clean,automatic,4wd,full-size,pickup,red
33843,267031,7500,2002.0,ford,f-150,excellent,8 cylinders,gas,210000.0,clean,automatic,4wd,full-size,truck,silver
33847,267059,8500,2012.0,chevrolet,silverado 1500,good,8 cylinders,gas,164004.0,clean,automatic,rwd,full-size,truck,black
33853,267075,6450,2006.0,chevrolet,silverado 2500hd,excellent,8 cylinders,gas,189991.0,clean,automatic,rwd,full-size,pickup,grey
33856,267088,9783,2014.0,toyota,camry le,good,4 cylinders,gas,130501.0,clean,automatic,4wd,mid-size,sedan,blue
33861,267094,45000,2018.0,dodge,2500,excellent,8 cylinders,gas,36000.0,clean,automatic,4wd,full-size,truck,black
33867,267108,6800,2009.0,toyota,camry le,excellent,4 cylinders,gas,133000.0,clean,automatic,fwd,mid-size,sedan,red
33868,267114,8995,2010.0,ford,f-150,excellent,8 cylinders,gas,190000.0,clean,automatic,fwd,full-size,truck,black
33870,267121,7900,2013.0,nissan,rogue,excellent,4 cylinders,gas,99400.0,clean,automatic,rwd,mid-size,SUV,silver
33871,267123,8900,2013.0,honda,civic lx,excellent,4 cylinders,gas,78560.0,clean,automatic,fwd,compact,sedan,silver
33875,267135,13995,2014.0,gmc,sierra 1500,good,6 cylinders,gas,207897.0,clean,automatic,rwd,full-size,pickup,black
33889,267191,6500,2003.0,chevrolet,silverado,like new,8 cylinders,gas,47325.0,clean,automatic,4wd,full-size,truck,white
33897,267216,18995,2013.0,jeep,wrangler,good,6 cylinders,gas,75935.0,clean,automatic,4wd,full-size,SUV,custom
33902,267255,24000,2011.0,chevrolet,silverado 1500,good,8 cylinders,gas,42000.0,clean,automatic,4wd,full-size,pickup,red
33903,267257,7900,2007.0,ram,1500,good,8 cylinders,gas,128000.0,clean,automatic,rwd,full-size,truck,red
33905,267261,12150,2018.0,ford,focus,good,4 cylinders,gas,44595.0,clean,automatic,fwd,compact,sedan,white
33908,267270,9700,2014.0,chevrolet,equinox,excellent,4 cylinders,gas,114829.0,clean,automatic,4wd,mid-size,SUV,black
33915,267330,13000,2006.0,toyota,tacoma,good,6 cylinders,gas,188736.0,clean,automatic,4wd,mid-size,truck,silver
33916,267338,4000,2011.0,honda,civic,good,4 cylinders,gas,214567.0,clean,automatic,fwd,compact,coupe,black
33923,267366,13500,2012.0,honda,cr-v,like new,4 cylinders,gas,128900.0,clean,automatic,fwd,compact,SUV,grey
33924,267369,27000,2017.0,toyota,tacoma,excellent,6 cylinders,gas,28336.0,rebuilt,automatic,rwd,mid-size,truck,red
33925,267371,2295,2004.0,toyota,sienna,fair,6 cylinders,gas,263000.0,clean,automatic,fwd,mid-size,mini-van,brown
33927,267379,54000,2019.0,ford,f-250,excellent,8 cylinders,diesel,26146.0,clean,automatic,4wd,full-size,pickup,silver
33930,267387,5000,2007.0,toyota,camry le,good,4 cylinders,gas,172500.0,clean,automatic,fwd,mid-size,sedan,brown
33931,267406,6800,2009.0,toyota,camry le,excellent,4 cylinders,gas,133000.0,clean,automatic,fwd,mid-size,sedan,red
33932,267407,20986,2014.0,jeep,grand cherokee,excellent,6 cylinders,gas,58001.0,rebuilt,automatic,4wd,mid-size,SUV,silver
33943,267491,6299,2011.0,ford,escape,good,4 cylinders,gas,121060.0,clean,automatic,4wd,full-size,SUV,black
33944,267492,5599,2010.0,ford,escape,good,6 cylinders,gas,123132.0,clean,automatic,4wd,full-size,SUV,silver
33948,267512,39997,2015.0,gmc,sierra 1500,excellent,8 cylinders,gas,51141.0,clean,automatic,4wd,full-size,pickup,black
33951,267521,8900,2006.0,jeep,wrangler,excellent,6 cylinders,gas,135000.0,clean,manual,4wd,mid-size,SUV,green
33954,267532,37995,2017.0,chevrolet,suburban,excellent,8 cylinders,gas,49704.0,clean,automatic,rwd,full-size,SUV,silver
33956,267559,6500,2001.0,ford,f-150,good,8 cylinders,gas,218000.0,clean,automatic,rwd,full-size,truck,white
33957,267562,21900,2014.0,gmc,sierra 1500,excellent,8 cylinders,gas,145000.0,clean,automatic,4wd,full-size,truck,black
33958,267563,21900,2014.0,chevrolet,silverado 1500,excellent,6 cylinders,gas,103000.0,clean,automatic,4wd,full-size,truck,white
33960,267570,13000,2014.0,ford,fusion,excellent,4 cylinders,gas,63150.0,clean,automatic,4wd,full-size,sedan,grey
33962,267585,5500,2010.0,toyota,rav4,good,4 cylinders,gas,223000.0,clean,automatic,4wd,compact,SUV,brown
33964,267625,13920,2012.0,chevrolet,express,good,8 cylinders,gas,76058.0,clean,automatic,rwd,full-size,van,white
33977,267648,5950,2011.0,chrysler,town & country,excellent,6 cylinders,gas,125100.0,clean,automatic,fwd,full-size,mini-van,blue
33979,267656,5600,2002.0,toyota,tacoma,good,6 cylinders,gas,460000.0,clean,manual,4wd,compact,pickup,brown
33982,267664,16997,2015.0,nissan,rogue,excellent,4 cylinders,gas,49199.0,clean,automatic,fwd,mid-size,SUV,black
33986,267674,7000,2013.0,chrysler,200,excellent,4 cylinders,gas,58000.0,rebuilt,automatic,fwd,mid-size,sedan,white
33989,267677,7500,2013.0,chevrolet,impala lt,like new,6 cylinders,gas,63000.0,rebuilt,automatic,fwd,full-size,sedan,red
33996,267693,15995,2010.0,ford,f-150,excellent,8 cylinders,gas,89875.0,clean,automatic,4wd,full-size,truck,blue
34000,267707,39997,2015.0,gmc,sierra 1500,excellent,8 cylinders,gas,51141.0,clean,automatic,4wd,full-size,pickup,black
34004,267722,5990,2010.0,honda,civic,good,4 cylinders,gas,134012.0,clean,automatic,fwd,mid-size,sedan,white
34006,267728,3300,2002.0,toyota,sienna,excellent,6 cylinders,gas,171000.0,clean,automatic,fwd,full-size,mini-van,blue
34007,267731,15500,2012.0,jeep,wrangler,excellent,6 cylinders,gas,116000.0,clean,manual,4wd,full-size,SUV,red
34010,267744,0,2015.0,buick,enclave,good,6 cylinders,gas,138710.0,clean,automatic,fwd,mid-size,SUV,brown
